Matrix,Iterations,Method,BestDistance,AverageDistance,BestTour
Matrix 3,500,Hybrid,27.0,27.00,[0, 4, 1, 3, 2]
Matrix 3,600,HC,27.0,27.00,[4, 2, 1, 3, 0]
Matrix 3,600,SA,27.0,27.00,[0, 3, 1, 4, 2]
Matrix 3,600,Hybrid,27.0,27.00,[4, 0, 3, 1, 2]
Matrix 3,700,HC,27.0,27.00,[0, 3, 1, 2, 4]
Matrix 3,700,SA,27.0,27.00,[2, 4, 1, 3, 0]
Matrix 3,700,Hybrid,27.0,27.00,[3, 1, 4, 0, 2]
Matrix 3,800,HC,27.0,27.00,[2, 1, 4, 0, 3]
Matrix 3,800,SA,27.0,27.00,[2, 0, 4, 1, 3]
Matrix 3,800,Hybrid,27.0,27.00,[3, 2, 0, 4, 1]
Matrix 3,900,HC,27.0,27.00,[4, 2, 0, 3, 1]
Matrix 3,900,SA,27.0,27.00,[4, 2, 1, 3, 0]
Matrix 3,900,Hybrid,27.0,27.00,[1, 3, 2, 0, 4]
Matrix 3,1000,HC,27.0,27.00,[4, 3, 1, 2, 0]
Matrix 3,1000,SA,27.0,27.00,[0, 2, 1, 3, 4]
Matrix 3,1000,Hybrid,27.0,27.00,[3, 0, 2, 4, 1]
Matrix 4,100,HC,18.0,18.00,[1, 2, 0, 4, 3]
Matrix 4,100,SA,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,100,Hybrid,18.0,18.00,[0, 4, 3, 1, 2]
Matrix 4,200,HC,18.0,18.00,[0, 4, 3, 1, 2]
Matrix 4,200,SA,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,200,Hybrid,18.0,18.00,[4, 3, 1, 2, 0]
Matrix 4,300,HC,18.0,18.00,[1, 3, 4, 0, 2]
Matrix 4,300,SA,18.0,18.00,[4, 3, 1, 2, 0]
Matrix 4,300,Hybrid,18.0,18.00,[4, 0, 2, 1, 3]
Matrix 4,400,HC,18.0,18.00,[2, 1, 3, 4, 0]
Matrix 4,400,SA,18.0,18.00,[4, 3, 1, 2, 0]
Matrix 4,400,Hybrid,18.0,18.00,[4, 0, 2, 1, 3]
Matrix 4,500,HC,18.0,18.00,[3, 4, 0, 2, 1]
Matrix 4,500,SA,18.0,18.00,[2, 0, 4, 3, 1]
Matrix 4,500,Hybrid,18.0,18.00,[0, 2, 1, 3, 4]
Matrix 4,600,HC,18.0,18.00,[4, 0, 2, 1, 3]
Matrix 4,600,SA,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,600,Hybrid,18.0,18.00,[2, 0, 4, 3, 1]
Matrix 4,700,HC,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,700,SA,18.0,18.00,[1, 3, 4, 0, 2]
Matrix 4,700,Hybrid,18.0,18.00,[0, 4, 3, 1, 2]
Matrix 4,800,HC,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,800,SA,18.0,18.00,[3, 4, 0, 2, 1]
Matrix 4,800,Hybrid,18.0,18.00,[4, 0, 2, 1, 3]
Matrix 4,900,HC,18.0,18.00,[3, 4, 0, 2, 1]
Matrix 4,900,SA,18.0,18.00,[4, 3, 1, 2, 0]
Matrix 4,900,Hybrid,18.0,18.00,[0, 2, 1, 3, 4]
Matrix 4,1000,HC,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 4,1000,SA,18.0,18.00,[0, 4, 3, 1, 2]
Matrix 4,1000,Hybrid,18.0,18.00,[3, 1, 2, 0, 4]
Matrix 5,100,HC,25.0,25.10,[1, 2, 4, 3, 0]
